Wall time,Step,Value
1773329545.0588381,5,0.706250011920929
1773329677.7786152,10,0.6499999761581421
1773329816.6980379,15,0.7749999761581421
1773329951.573168,20,0.78125
1773330086.8492775,25,0.8999999761581421
1773330219.4713628,30,0.512499988079071
1773330353.5941038,35,0.574999988079071
1773330488.4890764,40,0.30000001192092896
1773330621.8048346,45,0.23749999701976776
1773330759.5452638,50,0.375
1773330891.9055758,55,0.16249999403953552
1773331028.9859674,60,0.14374999701976776
1773331166.0696182,65,0.23125000298023224
1773331300.4549937,70,0.06875000149011612
1773331424.3717942,75,0.125
1773331531.2759984,80,0.0625
1773331632.643481,85,0.0
1773331833.4840991,90,0.0
1773331914.405991,95,0.0
1773331994.2806427,100,0.0
1773332120.2737372,105,0.03750000149011612
1773332222.1926472,110,0.0
1773332349.9753416,115,0.41874998807907104
1773332484.1603298,120,0.33125001192092896
1773332617.5069938,125,0.4937500059604645
1773332751.5897214,130,0.793749988079071
1773332887.3837612,135,0.96875
1773333021.7607598,140,0.9312499761581421
1773333156.424548,145,1.0
1773333290.7215705,150,1.0
1773333424.6917412,155,1.0
1773333560.5114079,160,1.0
1773333694.9450548,165,1.0
1773333831.4161508,170,1.0
1773333965.7962062,175,0.987500011920929
1773334102.5962765,180,1.0
1773334237.2475343,185,1.0
1773334374.0543847,190,1.0
1773334507.8655126,195,1.0
1773334641.8361733,200,1.0
1773334777.9186847,205,1.0
1773334913.0193272,210,1.0
1773335050.3299782,215,1.0
1773335183.525262,220,1.0
1773335319.7102873,225,1.0
1773335454.1087847,230,1.0
1773335589.8389337,235,1.0
1773335724.9058993,240,1.0
1773335856.932663,245,1.0
1773335992.9863057,250,1.0
1773336127.6292424,255,1.0
1773336261.2322423,260,1.0
1773336514.800378,265,1.0
1773336648.8606548,270,1.0
1773336783.8328145,275,1.0
1773336920.4747195,280,1.0
1773337053.09284,285,1.0
1773337191.4644597,290,1.0
1773337326.243436,295,1.0
1773337459.3614433,300,1.0
1773337594.857329,305,1.0
1773337730.1950357,310,1.0
1773337864.7203465,315,1.0
1773338000.9204664,320,1.0
1773338135.7611878,325,1.0
1773338272.8525195,330,1.0
1773338406.5669382,335,1.0
1773338541.2068052,340,1.0
1773338676.918953,345,1.0
1773338811.1918862,350,1.0
1773338948.9468718,355,1.0
1773339083.2626143,360,1.0
1773339216.813093,365,1.0
1773339352.829039,370,1.0
1773339488.19145,375,1.0
1773339622.526552,380,1.0
1773339759.279927,385,1.0
1773339894.5040445,390,1.0
1773340030.2766082,395,1.0
1773340165.7370713,400,1.0
1773340302.1936395,405,1.0
1773340439.1691527,410,1.0
1773340575.031381,415,1.0
1773340708.3624043,420,1.0
1773340845.0412714,425,1.0
1773340979.3656473,430,1.0
1773341116.1175752,435,1.0
1773341251.1882346,440,1.0
1773341387.3746233,445,1.0
1773341523.6458852,450,1.0
1773341658.738142,455,1.0
1773341795.1155164,460,1.0
1773341929.5157657,465,1.0
1773342064.2622812,470,1.0
1773342201.3175817,475,1.0
1773342338.1341166,480,1.0
1773342473.9093816,485,1.0
1773342611.770416,490,1.0
1773342746.5864267,495,1.0
1773342883.2050135,500,1.0
1773343018.3250697,505,1.0
1773343153.062795,510,1.0
1773343289.1816063,515,1.0
1773343423.4476006,520,1.0
1773343558.8932693,525,1.0
1773343692.8323317,530,1.0
1773343828.5271764,535,1.0
1773343965.986275,540,1.0
1773344104.2200308,545,1.0
1773344239.2015555,550,1.0
1773344372.9644573,555,1.0
1773344509.0077128,560,1.0
1773344645.7212198,565,1.0
1773344780.9996097,570,1.0
1773344915.9328094,575,1.0
1773345051.665994,580,1.0
1773345187.4374468,585,1.0
1773345325.081893,590,1.0
1773345460.3886743,595,1.0
1773345594.6442912,600,1.0
1773345731.799423,605,1.0
1773345867.1144512,610,1.0
1773346000.9348702,615,1.0
1773346137.4650893,620,1.0
1773346272.113259,625,1.0
1773346408.9153135,630,1.0
1773346543.2712724,635,1.0
1773346679.9473372,640,1.0
1773346815.985722,645,1.0
1773346950.6873465,650,1.0
1773347086.0179493,655,1.0
1773347221.3385985,660,1.0
1773347357.5296814,665,1.0
1773347492.7415318,670,1.0
1773347627.8250725,675,1.0
1773347762.8656557,680,1.0
1773347899.8401072,685,1.0
1773348033.7815506,690,1.0
1773348170.7908401,695,1.0
1773348307.2020433,700,1.0
1773348442.6697934,705,1.0
1773348579.7814832,710,1.0
1773348715.7146292,715,1.0
1773348852.526398,720,1.0
1773348988.509654,725,1.0
1773349124.4633448,730,1.0
1773349261.1925292,735,1.0
1773349397.0036888,740,1.0
1773349532.4247575,745,1.0
1773349668.2707481,750,1.0
1773349803.2072763,755,1.0
1773349940.4547617,760,1.0
1773350075.5505574,765,1.0
1773350210.5987093,770,1.0
1773350349.0113146,775,1.0
1773350485.7334702,780,1.0
1773350621.0601182,785,1.0
1773350758.9705076,790,1.0
1773350892.5116992,795,1.0
1773351028.2172267,800,1.0
1773351164.0272138,805,1.0
1773351299.6635158,810,1.0
1773351436.5219915,815,1.0
1773351572.9187174,820,1.0
1773351708.5726519,825,1.0
1773351843.0149028,830,1.0
1773351978.776273,835,1.0
1773352115.7944505,840,1.0
1773352251.5362008,845,1.0
1773352389.0692482,850,1.0
1773352526.2193587,855,1.0
1773352662.396231,860,1.0
1773352798.352745,865,1.0
1773352933.3811638,870,1.0
1773353067.4692724,875,1.0
1773353204.5473485,880,1.0
1773353342.5777571,885,1.0
1773353480.1960728,890,1.0
1773353614.3558652,895,1.0
1773353751.0549834,900,1.0
1773353889.70057,905,1.0
